clustername,memorytotal,memorypercent,cputotal,cpupercent,nodecount,health,message
ch3-prod-channel,143689,11,36000,36,6,HEALTHY,Cluster is healthy
ch3-prod-e2net,239688,10,60000,34,9,HEALTHY,Cluster is healthy
ch3-prod-gtm,175689,10,44000,32,7,HEALTHY,Cluster is healthy
ch3-prod-sharedservices,175689,16,44000,46,7,HEALTHY,Cluster is healthy
chg-prod-cargoscreening-tkc,119821,10,72000,16,6,HEALTHY,Cluster is healthy
chg-prod-cdm-awx-tkc,305111,8,44000,42,7,HEALTHY,Cluster is healthy
chg-prod-ci-apps-tkc,111575,12,44000,29,7,HEALTHY,Cluster is healthy
chg-prod-cops-tkc,111575,13,44000,31,7,HEALTHY,Cluster is healthy
chg-prod-e2proxy-tkc,304355,18,76000,35,11,HEALTHY,Cluster is healthy
chg-prod-e2proxy-walkme-tkc,55505,26,28000,38,5,HEALTHY,Cluster is healthy
chg-prod-rdm-tkc,240788,6,36000,66,6,HEALTHY,Cluster is healthy
chg-prod-sharedservices-tkc,95636,23,36000,49,6,HEALTHY,Cluster is healthy
chg-prod-vault-tkc,47255,35,24000,53,6,HEALTHY,Cluster is healthy
fr8-prod-e2net,239688,10,60000,33,9,HEALTHY,Cluster is healthy
fr8-prod-e2net-cdm-platform,240788,4,36000,27,6,HEALTHY,Cluster is healthy
fr8-prod-sharedservices,175689,58,44000,32,7,HEALTHY,Cluster is healthy
fr8-prod-vault-tkc,35162,42,18000,60,6,HEALTHY,Cluster is healthy
fra-prod-ci-apps-tkc,111575,12,44000,29,7,HEALTHY,Cluster is healthy
fra-prod-cops-tkc,111575,16,44000,32,7,HEALTHY,Cluster is healthy
fra-prod-e2proxy-tkc,176087,10,44000,31,7,HEALTHY,Cluster is healthy
fra-prod-e2proxy-walkme-tkc,55505,19,28000,35,5,HEALTHY,Cluster is healthy
fra-prod-sharedservices-tkc,240784,5,60000,19,6,HEALTHY,Cluster is healthy
sha-prod-ci-apps-tkc,95634,12,48000,24,6,HEALTHY,Cluster is healthy
sha-prod-e2proxy-tkc,111573,15,56000,24,7,HEALTHY,Cluster is healthy
sha-prod-sharedservices,175689,10,44000,33,7,HEALTHY,Cluster is healthy
sjca-prod-ci-apps-tkc,111575,12,44000,29,7,HEALTHY,Cluster is healthy
sjca-prod-cops-tkc,111575,12,44000,29,7,HEALTHY,Cluster is healthy
sjca-prod-e2proxy-tkc,127514,27,52000,36,8,HEALTHY,Cluster is healthy
sjca-prod-vault-tkc,35160,39,18000,57,6,HEALTHY,Cluster is healthy
sjc-prod-sharedservices,240783,4,60000,16,6,HEALTHY,Cluster is healthy
sv1-prod-e2net,239688,12,60000,38,9,HEALTHY,Cluster is healthy
sv1-prod-sharedservices,239688,18,60000,33,9,HEALTHY,Cluster is healthy
